Title,Rating,Genre,Cast
The Marvels,62.59,"['Science Fiction', 'Adventure', 'Action']","['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton', 'Samuel L. Jackson', 'Gary Lewis', 'Park Seo-jun', 'Zenobia Shroff', 'Mohan Kapur', 'Saagar Shaikh', 'Leila Farzad', 'Abraham Popoola', 'Lashana Lynch', 'Tessa Thompson', 'Daniel Ings', 'Alex Hughes', 'Shardiah Ssagala', 'Cecily Cleeve', 'Remi Dabiri-McQuaid', 'Ffion Jolly', 'Kennedy McCallum-Martin', 'Savannah Skinner-Henry', 'Rachel John', 'Daniel Monteiro', 'Kya Garwood', 'Fikayo Ifarajimi', 'Shereen Walker', 'Hansen Burton', 'Hailee Steinfeld', 'Kelsey Grammer', 'Akira Akbar', 'Jude Law', 'Annette Bening']"
Dune,77.87,"['Science Fiction', 'Adventure']","['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Josh Brolin', 'Stellan Skarsgård', 'Dave Bautista', 'Sharon Duncan-Brewster', 'Stephen McKinley Henderson', 'Zendaya', 'Chang Chen', 'Charlotte Rampling', 'Jason Momoa', 'Javier Bardem', 'David Dastmalchian', 'Babs Olusanmokun', 'Golda Rosheuvel', 'Roger Yuan', 'Benjamin Clémentine', 'Souad Faress', 'Seun Shote', 'Neil Bell', 'Oliver Ryan', 'Stephen Collins', 'Charlie Rawes', 'Richard Carter', 'Benjamin Dilloway', 'Elmi Rashid Elmi', 'Tachia Newall', 'Gloria Obianyo', 'Fehinti Balogun', 'Dora Kápolnai-Schvab', 'Joelle', 'Jimmy Walker', 'Paul Bullion', 'Milena Sidorova', 'János Timkó', 'Jean Gilpin', 'Marianne Faithfull', 'Ellen Dubin']"
Through My Window 3: Looking at You,66.51,"['Romance', 'Drama', 'Comedy']","['Clara Galle', 'Julio Peña', 'Natalia Azahara', 'Eric Masip', 'Andrea Chaparro', 'Emilia Lazo', 'Ivan Lapadula', 'Hugo Arbues', 'Pilar Castro', 'Rachel Lascar', 'Abel Folk', 'Omar Chaparro']"
The Adventures,40,"['Romance', 'Comedy', 'Adventure']","['Sunny Suwanmethanon', 'Matcha Mosimann', 'Somchai Kemglad', 'Pongsatorn Jongwilas', 'Jarnnawut Jarnyaharn', 'Peerada Kointarangkul', 'Yunhe Li', 'Li Zhenyu']"
Badland Hunters,67,"['Science Fiction', 'Action', 'Drama']","['Ma Dong-seok', 'Lee Hee-jun', 'Lee Jun-young', 'Roh Jeong-eui', 'Ahn Ji-hye', 'Park Ji-hoon', 'Jang Young-nam', 'Park Hyo-joon', 'Seong Byeong-suk', 'Jung Young-ju', 'Lee Han-joo', 'Park Sang-hoon', 'Ahn Seong-bong', 'Jeong Gi-seop', 'Kim Young-sun', 'Sin Sin-beom', 'Hong Yi-joo']"
Trunk - Locked In,58.17,"['Thriller', 'Action', 'Drama']","['Sina Martens', 'Artjom Gilz', 'Luise Helm', 'Poal Cairo', 'Charles Rettinghaus', 'Janina Sachau']"
Wish,66.23,"['Animation', 'Family', 'Fantasy', 'Adventure']","['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral', 'Victor Garber', 'Natasha Rothwell', 'Jennifer Kumiyama', 'Harvey Guillén', 'Niko Vargas', 'Evan Peters', 'Ramy Youssef', 'Jon Rudnitsky', 'Della Saba', 'Keone Young', 'Lucas Sigler', 'Holland Watkins', 'Woody Buck', 'Efé', 'Nicole Lynn Evans', 'Heather Matarazzo', 'Nasim Pedrad', 'Abraham Sigler', 'Yvette Nicole Brown', 'James Monroe Iglehart']"
Aquaman and the Lost Kingdom,69,"['Action', 'Adventure', 'Fantasy']","['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II', 'Randall Park', 'Amber Heard', 'Nicole Kidman', 'Dolph Lundgren', 'Temuera Morrison', 'Indya Moore', 'Pilou Asbæk', 'Jani Zhao', 'Vincent Regan', 'Martin Short', 'John Rhys-Davies', 'Natalia Safran', 'Samuel Gosrani', 'Jay Rincon', 'Sohm Kapila', 'Ricardo Molina', 'Ingrid Bisu', 'Grant Huggair', 'Osian Roberts', 'Jonny Vaughton', 'Jay McDonald', 'Jonathan Bremner', 'Jack Waldouck', 'Tyler Burger', 'Maddox Cruz-Porter', 'River Ao Moemoeā Green', 'Nikau Keats Green', 'Bodhi McCabe', 'Elliot Oben-Perpa', 'Lucian Oben-Perpa', 'Arthur Rowe-Mayer', 'Noah Rowe-Mayer', 'Julie Chang', 'Mark Kwak', 'Dylan Silver', 'Jon Birkbeck', 'Michael Beach']"
Dad or Mom,73.68,['Comedy'],"['Mauricio Ochmann', 'Silvia Navarro', 'Axel Madrazo', 'Aranda Sokol', 'Erick Terroba García', 'Mauricio “El Diablito” Barrientos', 'Veronica Toussaint', 'Bárbara López', 'Armando Hernández', 'Nora Velázquez', 'Juan Ríos', 'Christian Chávez', 'Ari Gallegos', 'Gisselle Kuri', 'Patricio José']"
Mean Girls,65,['Comedy'],"['Angourie Rice', 'Reneé Rapp', ""Auli'i Cravalho"", 'Jaquel Spivey', 'Avantika', 'Bebe Wood', 'Christopher Briney', 'Jenna Fischer', 'Busy Philipps', 'Tina Fey', 'Tim Meadows', 'Lindsay Lohan', 'Jon Hamm', 'Ashley Park', 'Connor Ratliff', 'Mahi Alam', 'John El-Jor', 'Brian Altemus', 'Megan Thee Stallion', 'Ben Wang', 'Alexis Frias', 'Isabella Bria Lopez', 'Morgen McKynzie', 'Veronica S. Taylor', 'Stephanie Mincone', 'Gabriella Cila', 'Jordan Gallimore', 'Ari Notartomaso', 'Camille Umoff', 'Kaylee Kaleinani', 'Allison Winn', 'Ben Heineman', 'Fernell Hogan', 'Calidore Robinson', 'Sofia Dobrushin', 'Grant Harrison Mateo', 'Amann Iqbal', 'Nahscha', 'Gage Roark', 'Soona Lee-Tolley', 'Janna Graham', 'Matilde Heckler', 'Francesca Castro', 'Nuri Park', 'Grace Slear', 'Izzy Bank', 'Kayla LaVine', 'James Jones', 'Garid Garcia', 'Jake Schwencke', 'Ellena Eshraghi', 'Kelsie Daniels', 'Elizabeth Witek', 'Alexandra Witek', 'Brooke Johnson', 'Meredith Dunbar', 'Hank Pekarsky', 'Sri', 'Veronica Merrell-Burriss', 'Vanessa Merrell', 'Jordi', 'Énola Bédard', 'Nia Sioux', 'Emely Moreno', 'Jazz Jennings', 'Pierson Wodzynski', 'Mars Avila', 'Alan Chow', 'Chris Olsen', 'Bailey B. Angelski', 'Joshua M. Baer', 'Caitlin M. Beecham', 'Samantha R. Borsari', 'Briannon E. Bowman', 'Ian A. Boyce', 'Daniela Cassano', 'Danielle K. Catalano', 'Ismael Chino', 'Gianna M. Cologna', 'Jason L. DeGroff', 'Kaylin E. DeGroff', 'Joshua P. Doody', 'Christiana J. Doyle', 'Calysta R. Eachus', 'Kasey L. Ericson', 'Timothy S. Fletcher', 'Orlando A. Galazara', 'Cameron T. Garde', 'Sean G. Haight', 'Ryan J. Horgan', 'Teresa Kissel', 'Christopher J. Lucey', 'Megan A. Macneil', 'Malachi I. McLean', 'Colin J. McTernan', 'Julien F. Miller', 'Lauren M. Molfetta', 'Meryem G. Oldro', 'Connor D. Paul', 'Victoria G. Russo', 'Olivia C. Tona', 'Anthony M. Varbaro', 'Nico A. Varone', 'Thomas R. Wilson', 'Eric Patrick Cameron']"
