Title,Rating,Genre,Cast
West of Hell,47.62,"['Horror', 'Western', 'Fantasy']","['Tony Todd', 'Michael Eklund', 'Lance Henriksen', 'Richard Riehle', 'Jeryl Prescott', 'Yousef Abu-Taleb', 'Sewell Whitney', 'Diahnna Nicole Baxter', 'June Laporte', 'Jill Hoiles', 'Omono Okojie', 'Christopher Woods', 'Michael Zane', 'Ashley Drayton', 'Anna Borchert', 'Dwayne Marion Johnson', 'Ben Adams', 'Nick Bennett']"
Trolls Band Together,73.00,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi', 'Zosia Mamet', 'Zooey Deschanel', 'Kunal Nayyar', 'Kenan Thompson', 'Christopher Mintz-Plasse', 'Ron Funches', 'Anderson .Paak', 'RuPaul', 'Aino Jawo', 'Caroline Hjelt', 'Patti Harrison', 'Lance Bass', 'JC Chasez', 'Joey Fatone', 'Chris Kirkpatrick', 'Glozell Green', 'Dillon Francis', 'Walt Dohrn', 'David Fynn', 'Kevin Michael Richardson', 'Iris Dohrn', 'Nina Zoe Bakshi', 'Melissa Mabie', 'James Ryan', 'Tim Heitz', 'Nick Fletcher', 'Secunda Wood', 'Roger Craig Smith', 'Ryan Naylor', 'Fred Tatasciore', 'Nick Kishiyama', 'Jakari Fraser', 'Kayla Melikian', 'Titus Blake', 'Nicole Lynn Evans']"
Meg 2: The Trench,66.00,"['Action', 'Science Fiction', 'Horror']","['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Page Kennedy', 'Sergio Peris-Mencheta', 'Sienna Guillory', 'Cliff Curtis', 'Skyler Samuels', 'Melissanthi Mahut', 'Whoopie van Raam', 'Kiran Sonia Sawar', 'Felix Mayr', 'Guo Tao', 'Robin Hill', 'Dai Lele', 'Sui Fong Ivy Tsui', 'Stewart Alexander', 'Able Wanamakok', 'Xiong Jinyi', 'Cai Jingjing', 'Li Xin', 'Kenneth Won', 'Longxi', 'Bai Narisu', 'Matthew Stirling', 'Richard Glover', 'Billy Clements', 'Jonny James', 'Enzo di Bonaventura', 'Sara Dee']"
Mission: Impossible - Dead Reckoning Part One,75.61,"['Action', 'Thriller']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny', 'Shea Whigham', 'Greg Tarzan Davis', 'Frederick Schmidt', 'Mariela Garriga', 'Cary Elwes', 'Charles Parnell', 'Mark Gatiss', 'Indira Varma', 'Rob Delaney', 'Marcello Walton', 'Brian Law', 'Lincoln Conway', 'Alex James-Phelps', 'Marcin Dorociński', 'Ivan Ivashkin', 'Zahari Baharov', 'Adrian Bouchet', 'Sam Barrett', 'Louis Vaughan', 'Jean Kartal', 'Os Leanse', 'Luke Smith', 'Nikolaos Brahimllari', 'Matt Malecki', 'Damian Rozanek', 'Antonio Bustorff', 'Ioachim Ciobanu', 'Michael Kosterin', 'Sergej Lopouchanski', 'Robert Luckay', 'Jadran Malkovich', 'Mikhail Safronov', 'Christopher Sciueref', 'Andrea Scarduzio', 'Barnaby Kay', 'Gloria Obianyo', 'Alex Brock', 'Kaye Dinauto', 'Dana Blacklake', 'Arevinth V Sarma', 'Doroteya Toleva', 'Lucia Tong', 'Hersha Verity', 'Yennis Cheung', 'Laura Vortler', 'Faycal Attougui', 'Gaetano Bruno', 'Marco Sincini', 'Evita Ciri', 'Melissa Anna Bartolini', 'John Akanmu', 'Marco Lascari', 'Simon Rizzoni', 'Nicolas Wang', 'Lee Bridgman', 'Daniella Carraturo', 'Katie Collins', 'Joanna Dyce', 'Taylor Goodridge', 'Jessica Holland', 'Philip Hulford', 'Grace Jabbari', 'Ira Mandela Siobhan', 'Nicholas Tredrea', 'Megan Westpfel', 'Marc Wesley DeHaney', 'Rocky Taylor']"
Society of the Snow,80.75,"['Drama', 'History']","['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt', 'Tomás Wolf', 'Diego Vegezzi', 'Esteban Kukuriczka', 'Francisco Romero', 'Rafael Federman', 'Felipe González Otaño', 'Agustín Della Corte', 'Valentino Alonso', 'Simon Hempe', 'Fernando Contigiani García', 'Benjamín Segura', 'Luciano Chatton', 'Agustín Berruti', 'Juan Caruso', 'Rocco Posca', 'Andy Pruss', 'Esteban Bigliardi', 'Paula Baldini', 'Blas Polidori', 'Felipe Ramusio Mora', 'Santiago Vaca Narvaja', 'Emanuel Parga', 'Federico Aznárez', 'Alfonsina Carrocio', 'Louta', 'Juandi Eirea Young', 'Jerónimo Bosia', 'Giselle Douaret', 'Agustín Lain', 'Julian Bedino', 'Lautaro Bakir', 'Tea Alberti', 'Francisco Bereny', 'Toto Rovito', 'Lucas Mascarena', 'Maximiliano de la Cruz', 'Juan José Marco', 'Mariano Rochman', 'Esteban Pico', 'Pablo Tate', 'Virgínia Kauffmann', 'Francisco Burghi', 'Daniel Patricio Antivilio Acuña', 'Ezequiel Fadel Hinojosa', 'Gustavo F. Sasco', 'Facundo Roure', 'Carlos Miguel Páez Rodríguez', 'Emanuel Sobré', 'Roberto Suárez', 'Constanza del Sol Giraudo', 'Federico Formento', 'Gustavo Zerbino Stajano', 'Ramón Mario Sabella Barreiro', 'Sofía Lara']"
Avengers: Infinity War,82.00,"['Adventure', 'Action', 'Science Fiction']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle', 'Zoe Saldaña', 'Karen Gillan', 'Elizabeth Olsen', 'Paul Bettany', 'Anthony Mackie', 'Sebastian Stan', 'Tom Hiddleston', 'Idris Elba', 'Danai Gurira', 'Peter Dinklage', 'Benedict Wong', 'Pom Klementieff', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Gwyneth Paltrow', 'Benicio del Toro', 'Josh Brolin', 'Chris Pratt', 'Sean Gunn', 'William Hurt', 'Letitia Wright', 'Terry Notary', 'Tom Vaughan-Lawlor', 'Carrie Coon', 'Michael James Shaw', 'Stan Lee', 'Winston Duke', 'Florence Kasumba', 'Kerry Condon', 'Monique Ganderton', 'Jacob Batalon', 'Tiffany Espensen', 'Isabella Amara', 'Ethan Dizon', 'Ariana Greenblatt', 'Ameenah Kaplan', 'Ross Marquand', 'Michael Anthony Rogers', 'Stephen McFeely', 'Aaron Lazar', 'Robert Pralgo', 'Olaniyan Thurmon', 'Blair Jasin', 'Matthew Zuk', 'Laura Miller', 'Kenneth Branagh', 'Samuel L. Jackson', 'Cobie Smulders', 'Harrison Osterfield', 'Gary Peebles', 'Marija Abney', 'Zola Williams', 'Marie Mouroum', 'James Siderits', 'Precious Jenkins', 'Bobby James', 'Lady Cardinal']"
Before Night Falls,52.50,"['Horror', 'Drama', 'Mystery']","['Annette Edoarda', 'Novia Bachmid', 'Fajar K. Effendi', 'Jeffry Reksa', 'Tien Kadaryono', 'Yannie Sukarya', 'Reza Pramez', 'Iting Tintin']"
Mira,77.30,"['Science Fiction', 'Drama', 'Adventure', 'Family']","['Anatoliy Belyy', 'Darya Moroz', 'Veronika Ustimova', 'Maksim Lagashkin', 'Evgeny Egorov', 'Andrey Smolyakov', 'Vladimir Ilin', 'Tatyana Dogileva', 'Kirill Zaytsev', 'Alexandr Petrov', 'Agniya Vorobyeva', 'Kristina Korbut', 'Marina Burtseva', 'Vladimir Simonov', 'Igor Khripunov', 'Anton Bogdanov', 'Bain Bovaldinov', 'Alexandr Lyuman-Mosiychenko', 'Alexandr Kuzmin', 'Tatyana Trushina', 'Mikhail Kolos', 'Artem Artemyev', 'Denis Miroshnichenko', 'Igor Smirnov', 'Ilya Lagutenko', 'Darya Blokhina']"
Elemental,76.69,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Adventure']","['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet', 'Joe Pera', 'Matthew Yang King', 'Clara Lin Ding', 'Reagan To', 'Jeff Lapensee', 'Ben Morris', 'Alex Kapp', 'P.L. Brown', 'Jonathan Adams']"
Killers of the Flower Moon,75.00,"['Crime', 'History', 'Drama']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Scott Shepherd', 'Cara Jade Myers', 'JaNae Collins', 'William Belleau', 'Jason Isbell', 'Louis Cancelmi', 'John Lithgow', 'Tantoo Cardinal', 'Jillian Dion', 'Brendan Fraser', 'Everett Waller', 'Tahlee Redcorn', 'Yancey Red Corn', 'Tatanka Means', 'Tommy Schultz', 'Sturgill Simpson', 'Ty Mitchell', 'Gary Basaraba', 'Charlie Musselwhite', 'Pat Healy', 'Steve Witting', 'Steve Routman', 'Gene Jones', 'Michael Abbott Jr.', 'J.C. MacKenzie', 'Jack White', 'Larry Sellers', 'Barry Corbin', 'Gabriel Casdorph', 'Samuel French', 'Wally Welch', 'James Roman Dailey Jr.', 'Christopher Cote', 'Randy Houser', 'Moe Headrick', 'Pete Yorn', 'Margaret Shannon-Sisk', 'Moira Redcorn', 'Eric Parkinson', 'Chase Parker', 'Jarad Looper', 'John Gibbs', 'Jerry Logsdon', 'Jacob Lux', 'Xavier Toehay', 'Mike Cook', 'Katherine Willis', 'Delani Chambers', 'Zachary Hokeah', 'Talon Satepauhoodle', 'Jennifer Rader', 'Chance Rush', 'Dana Daylight', 'Mahada Sanders', 'Ben Hall', 'John Q. Wilson', 'Beau Smith', 'Victor McCay', 'Nathalie Standingcloud', 'Jay Paulson', 'Marvin E. Stepson Jr.', 'Tracey Ann Moore', 'Easton Wade Yellowfish', 'Reignen Yellowfish', 'Candice Costello', 'Father Chris Daigle', 'Justin France', 'Jerry Wolf', 'Addie Roanhorse', 'Erica Pretty Eagle Moore', 'Mason Cunningham', 'Norma Jean', 'Elisha Pratt', 'Desireee Storm Brave', 'Margaret Gray', 'Christopher Hill', 'Dolan Wilson', 'Jackie Wyatt', 'Rayna Gellert', 'Nokosee Fields', 'Kieran Kane', 'Lucas Ross', 'Elijah Cemp Ragsdale', 'Vanessa Rose Pham', 'Terry Allen', 'Jo Harvey Allen', 'Sarah Spurger', 'Joshua Close', 'Elden Henson', 'Kinsleigh McNac', 'Roanin Davis', 'David Fields', 'Anthony J. Harvey', 'Stephen Berkman', 'William Alyn Hill', 'Joseph Spinelli', 'Blaine Hall', 'Brent Langdon', 'Leland Prater', 'DJ Whited', 'Elizabeth Waller', 'Jessica Harjo', 'Joey Oglesby', 'Alexis Ann', 'Lee Eddy', 'Gary S. Pratt', 'Nathaniel Arcand', 'Kristin Keith', 'Bravery Nowlin', 'Edward Gray Sr.', 'Angela Pratt', 'Henry Amos Gray', 'Samuel Gray', 'Edward Gray Jr.', 'Mamie Cozad', 'Shonagh Smith', 'Joel Tallchief Lemon', 'Richard Lookout RulingHisSun', 'Brett Bower', 'Garrison Panzer', 'River Rhoades', 'Zack T. Morris', 'Harrison Shackelford', 'Alexis Waller', 'Mark Landon Smith', 'Tom Ashmore', 'Myron F. Red Eagle', 'Dolores Marie Goodeagle', 'Matt Tolentino', 'Johnny Baier', 'Gregory Fallis', 'Patrick Bubert', 'TJ Muller', 'Will Reardon-Anderson', 'Peter Reardon-Anderson', 'Kyle Dillingham', 'Jacob Johnson', 'Jeffrey Stevenson', 'Clint Rohr', 'D. Reride Smith', 'James Healy Jr.', 'Jeremy Goodvoice', 'Ron McMahan', 'Seth Buckminster', 'Penny Potts', 'Melissa Tiger', 'Karen Garlitz', 'Bronson Redeagle', 'Jenny Paige Lynn', 'David Born', 'Mary Buss', 'Ted Welch', 'Carl Palmer', 'Tanner Brantley', 'Jezy Gray', 'Steve Eastin', 'Joe Chrest', 'Brian Shoop', 'James Carroll', 'Lux Britni Malaske', 'Adam Washington', 'Larry Jack Dotson', 'Larry Fessenden', 'Welker White', 'Martin Scorsese', 'Marko Costanzo', 'Nicholas White', 'Rob Fisher', 'Vince Giordano', 'Paul Woodiel', 'Andy Stein', 'Sam Bardfeld', 'Joe Boga', 'Jon-Erik Kellso', 'Jim Fryer', 'Marc Phaneuf', 'Mark Lopeman', 'Chris Byars', 'Vinny Raniolo', 'Paul Wells', 'Peter Yarin', 'Scott George', 'Kenneth Bighorse Jr.', 'Vann Bighorse', 'Anna L. Bighorse', 'Mason Bighorse', 'Norris Bighorse', 'Scott Bighorse', 'Paul Bighorse', 'Taveah Ann George', 'Wahwastoas J. Jones', 'Dobbin Monoessy Knifechief', 'Julia Lookout', 'Jennifer Moses', 'Francis Pipestem Jr.', 'Michael Paul Pahsetopah', 'Silas Satepauhoodle', 'Cherylyn Oberly Satepauhoodle', 'Charisse Satepauhoodle', 'Lynette Satepauhoodle', 'John Shaw', 'Angela Toineeta Satepauhoodle', 'Alexandria Toineeta', 'Ed Yellowfish', 'Nick W. Nicholson', 'Danny Frost']"
