Title,Rating,Genre,Cast
Freelance,65.67,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Christian Slater', 'Alice Eve', 'Marton Csokas', 'Sebastián Eslava', 'Molly McCann', 'Mauricio Cujar', 'Diego Vásquez', 'Nelson Camayo', 'Matt Moody', 'Daniel Toro', 'Gamal Dillard', 'Roberto Cano', 'Andrés Echavarría', 'Yusuf Felipe Tangarife Angulo', 'Fiona Horsey', 'Michel Farji Honlein', 'Julianne Arrieta', 'Pablo Daniel Rodríguez', 'Tomaso Tarli', 'Mélida Saviz']"
The Hunger Games: The Ballad of Songbirds & Snakes,71.87,"['Drama', 'Science Fiction', 'Action']","['Tom Blyth', 'Rachel Zegler', 'Peter Dinklage', 'Jason Schwartzman', 'Hunter Schafer', 'Josh Andrés Rivera', 'Viola Davis', 'Dexter Sol Ansell', 'Rosa Gotzler', 'Clemens Schick', 'Fionnula Flanagan', 'Ashley Liao', 'Athena Strates', 'Joshua Kantara', 'Amélie Hoeferle', 'Kaitlyn Akinpelumi', 'Florian Burgkart', 'Ayomide Adegun', 'Aaron Finn Schultz', 'Max Raphael', 'Mekyas Mulugeta', 'Emma Frieda Brüggler', 'Yalany Marschner', 'Serena Oexle', 'Anni Baumann', 'Flora Thiemann', 'Zoë Renee', 'Seyna Sylla', 'Lilly Cooper', 'Aamer Husain', 'Aminata Lucia Yade Toscano', 'Daniela Grubert', 'Michael Greco', 'Levi Strasser', 'Chieloka Jairus', 'Tim Torok', 'Varvara Kanellakopoulou', 'Jerome Lance', 'Mackenzie Lansing', 'Cooper Dillon', 'Hiroki Berrecloth', 'Irene Böhm', 'Knox Gibson', 'Sofia Sanchez', 'Luna Kuse', 'Kjell Brutscheidt', 'Dimitri Abold', 'Luna Steeples', 'Nick Benson', 'Marc Aden Gray', 'Isobel Jesper Jones', 'Dakota Shapiro', 'Vaughan Reilly', 'Honor Gillies', 'Eike Onyambu', 'Cameron MacConomy', 'Ghaith Saleh', 'Riley Chung', 'Denise Hansen', 'Scott Folan', 'Burn Gorman', 'Raphael Zari', 'Mona Vojacek Koper', 'Carl Spencer', 'Konstantin Taffet', 'George Somner', 'Steven McMichael', 'Donald Sutherland', 'Jonas Martens']"
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,79.29,"['Action', 'Animation', 'Fantasy']","['Natsuki Hanae', 'Akari Kito', 'Takahiro Sakurai', 'Hochu Otsuka', 'Yuki Kaji', 'Ai Kakuma', 'Daisuke Namikawa', 'Toshihiko Seki', 'Takehito Koyasu']"
Upgraded,73.53,"['Romance', 'Comedy']","['Camila Mendes', 'Archie Renaux', 'Marisa Tomei', 'Lena Olin', 'Anthony Stewart Head', 'Thomas Kretschmann', 'Rachel Matthews', 'Grégory Montel', 'Andrew Schulz', 'Saoirse-Monica Jackson', 'Fola Evans-Akingbola', 'Aimee Carrero', 'Matteo Lane', 'Juliet Agnes', 'Akshay Shah', 'Jack Hewitt', 'Renny Krupinski', 'Chloe Wade', 'Hugh Edmeades', 'Paul Hawkyard', 'Alex McNally', 'Joe Osborne', 'Carlson Young']"
The Bridge Curse: Ritual,59.33,['Horror'],"['Wang Yu-xuan', 'JC Lin', 'Patrick Shih', 'Shawn Hu', 'Tzu Hsuan Chan', 'Wei-Lun Xi', 'Boris Wang', 'Linus Wang', 'Summer Meng', 'Vera Yen', 'Ning Chang']"
The Bricklayer,60.82,"['Action', 'Thriller']","['Aaron Eckhart', 'Nina Dobrev', 'Clifton Collins Jr.', 'Tim Blake Nelson', 'Ilfenesh Hadera', 'Oliver Trevena', 'Akis Sakellariou', 'Ori Pfeffer', 'John T. Woods', 'Konstantin Adaev', 'Zachary Willis', 'David Kennedy', 'Veronica Ferres', 'Johanna Harlin', 'Anastasia Doumtsis', 'Michael Siriopoulos', 'Teodora Djuric', 'Cristina Serafini', 'Laura Hopper', 'Vasilis Kanelopoulos', 'Iurii Vashurin', 'Manos Galanis', 'Roman Jankovič', 'Christopher Kikis', 'Lili Rich', 'Myy Harlin']"
The Family Plan,73.52,"['Action', 'Comedy']","['Mark Wahlberg', 'Michelle Monaghan', 'Maggie Q', 'Zoe Colletti', 'Van Crosby', 'Ciarán Hinds', 'Kellen Boyle', 'Saïd Taghmaoui', 'Felicia Pearson', 'Lateef Crowder', 'Miles Doleac', 'Jonny Coyne', 'Kash Abdulmalik', 'Joyner Lucas', 'Iliana Norris', 'Vienna Norris', 'Colby Burton', 'Al Vicente', 'Marcus Anderson', 'Ryan Homchick', 'Chantal Maurice', 'James Sharpe', 'Joey Mekyten', 'Christian Gehring', 'Max Bickelhaup', 'Thanhminh Tan Thai', 'Nickolas Wolf', 'Nolani', 'Tony L. Calloway', 'Beau Wilson', 'Robert Hendren', 'Anisa Nyell Johnson', 'Alexandra Pica', 'Dajalynn Sanchez', 'Savanna Gann', 'Sarah Jon', 'Bonnie Johnson', 'Nichele Lambert', 'Anthony N.', 'Quentin Franco', 'Keith Sayers', 'Kaci Barker', 'Damian Lamar Lockhart', 'Sean Michael Weber', 'Olivia Healey', 'Adam Murray', 'Michael Zazarino', 'Jack Ha', 'Anthony P. Thomas', 'Ray Kam', 'Hayley Keown', 'iiTzTimmy', 'Franco Castan', 'Valkyrae', 'David Conk', 'Denisha Gillespie', 'Kevin Dyer', 'Laura Palka', 'Levi Gilbert']"
The Super Mario Bros. Movie,77,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet', 'Kevin Michael Richardson', 'Khary Payton', 'Rino Romano', 'John DiMaggio', 'Jessica DiCicco', 'Eric Bauza', 'Juliet Jelenic', 'Scott Menville', 'Carlos Alazraqui', 'Jason Broad', 'Ashly Burch', 'Rachel Butera', 'Cathy Cavadini', 'Will Collyer', 'Django Craig', 'Willow Geer', 'Aaron Hendry', 'Andy Hirsch', 'Barbara Harris', 'Phil LaMarr', 'Jeremy Maxwell', 'Daniel Mora', 'Eric Osmond', 'Noreen Reardon', 'Lee Shorten', 'Cree Summer', 'Nisa Ward', 'Nora Wyman']"
Cult Killer,56.67,"['Mystery', 'Thriller', 'Crime', 'Horror']","['Alice Eve', 'Antonio Banderas', 'Shelley Hennig', 'Olwen Fouéré', 'Kim DeLonghi', 'Nick Dunning', 'Paul Reid', 'Kwaku Fortune', 'John Wollman', 'Matthew Tompkins', 'Patrick Buchanan', 'Ciaran McGlynn', 'Chris Mohan', 'Sophie Amber', 'Daire McMahon', 'Aoife Kelly', 'Daniel Carlin']"
They Talk,46.59,"['Horror', 'Mystery', 'Thriller']","['Jonathan Tufvesson', 'Margaux Billard', 'Sydney White', 'Aciel Martinez Pol', 'Hal Yamanouchi', 'Rocío Muñoz Morales', 'Aaron Stielstra', 'Stefania Montesolaro']"
